time, state_0, state_1, state_2, state_3, state_4, state_5, state_6, state_7, state_8, state_9
0, 1.31812, 1.82348, 1.82348, 0, 0, 0, 0, 0, 0, 0
0.0001, 1.31661, 1.82573, 1.82393, -0.000786863, 0.000640271, -29.7411, 44.3724, 8.93732, -15.4712, 12.3802
0.0002, 1.31217, 1.83234, 1.82526, -0.00309177, 0.00247292, -58.5826, 87.1049, 17.5961, -30.2974, 23.7752
0.0003, 1.3049, 1.84314, 1.82745, -0.00684411, 0.00539264, -86.4241, 127.801, 25.951, -44.3614, 34.0583
0.0004, 1.29489, 1.8579, 1.83045, -0.0119621, 0.00928234, -113.193, 166.119, 33.9827, -57.557, 43.1213
0.0005, 1.28226, 1.87636, 1.83424, -0.0183538, 0.0140151, -138.848, 201.776, 41.677, -69.7903, 50.8754
0.0006, 1.26712, 1.89825, 1.83879, -0.0259187, 0.019456, -163.379, 234.547, 49.0251, -80.9805, 57.2503
0.0007, 1.24958, 1.92327, 1.84405, -0.0345487, 0.0254642, -186.81, 264.268, 56.0228, -91.0605, 62.1947
0.0008, 1.22976, 1.9511, 1.84999, -0.0441299, 0.0318944, -209.194, 290.826, 62.6699, -99.9771, 65.6757
0.0009, 1.20775, 1.98143, 1.85658, -0.0545436, 0.0385991, -230.614, 314.157, 68.9697, -107.692, 67.6779
0.001, 1.18364, 2.01393, 1.86379, -0.0656679, 0.0454301, -251.175, 334.24, 74.9284, -114.179, 68.2032
0.0011, 1.15751, 2.04828, 1.87157, -0.0773793, 0.0522402, -271.008, 351.088, 80.5543, -119.428, 67.2697
0.0012, 1.12943, 2.08415, 1.8799, -0.0895536, 0.0588847, -290.255, 364.743, 85.8573, -123.439, 64.9106
0.0013, 1.09946, 2.12123, 1.88874, -0.102067, 0.0652232, -309.073, 375.273, 90.8484, -126.226, 61.1733
0.0014, 1.06762, 2.15921, 1.89807, -0.114799, 0.0711205, -327.624, 382.76, 95.5385, -127.812, 56.1179
0.0015, 1.03393, 2.19779, 1.90785, -0.127631, 0.0764481, -346.067, 387.306, 99.9387, -128.231, 49.8162
0.0016, 0.998406, 2.23667, 1.91805, -0.140446, 0.0810853, -364.555, 389.023, 104.059, -127.526, 42.3503
0.0017, 0.961023, 2.27559, 1.92866, -0.153137, 0.0849198, -383.222, 388.037, 107.908, -125.745, 33.8112
0.0018, 0.921762, 2.31428, 1.93963, -0.165597, 0.0878492, -402.176, 384.487, 111.494, -122.943, 24.2971
0.0019, 0.880589, 2.35249, 1.95096, -0.177727, 0.089781, -421.486, 378.526, 114.82, -119.181, 13.9123
0.002, 0.837466, 2.38999, 1.9626, -0.189434, 0.0906334, -441.175, 370.328, 117.892, -114.519, 2.76522
0.0021, 0.792355, 2.42656, 1.97453, -0.200632, 0.0903358, -461.208, 360.086, 120.708, -109.023, -9.03249
0.0022, 0.745226, 2.46201, 1.98674, -0.21124, 0.0888287, -481.486, 348.023, 123.268, -102.757, -21.3679
0.0023, 0.696061, 2.49617, 1.99919, -0.221185, 0.086064, -501.838, 334.388, 125.567, -95.7846, -34.1281
0.0024, 0.644862, 2.5289, 2.01185, -0.230398, 0.0820048, -522.023, 319.466, 127.599, -88.1683, -47.2012
0.0025, 0.59166, 2.56007, 2.02471, -0.23882, 0.0766254, -541.735, 303.573, 129.356, -79.9669, -60.478
0.0026, 0.536519, 2.58962, 2.03772, -0.246393, 0.0699108, -560.613, 287.054, 130.828, -71.2361, -73.8525
0.0027, 0.479542, 2.61749, 2.05087, -0.253068, 0.0618564, -578.263, 270.281, 132.004, -62.0272, -87.2229
0.0028, 0.420871, 2.64368, 2.06412, -0.2588, 0.0524677, -594.274, 253.64, 132.874, -52.3866, -100.492
0.0029, 0.36069, 2.66822, 2.07745, -0.263547, 0.0417593, -608.247, 237.524, 133.43, -42.356, -113.57
0.003, 0.299224, 2.69119, 2.09081, -0.267272, 0.0297551, -619.816, 222.312, 133.665, -31.9715, -126.369
0.0031, 0.236728, 2.71269, 2.10418, -0.269942, 0.0164868, -628.669, 208.361, 133.575, -21.2637, -138.811
0.0032, 0.173489, 2.73287, 2.11752, -0.271526, 0.00199402, -634.566, 195.988, 133.161, -10.2579, -150.823
0.0033, 0.109813, 2.75189, 2.13081, -0.271995, -0.0136768, -637.345, 185.459, 132.429, 1.02658, -162.339
0.0034, 0.0460173, 2.76996, 2.14401, -0.271321, -0.0304728, -636.923, 176.981, 131.393, 12.5762, -173.3
0.0035, -0.0175757, 2.78729, 2.15709, -0.26948, -0.048336, -633.292, 170.695, 130.069, 24.383, -183.657
0.0036, -0.0806464, 2.8041, 2.17002, -0.266445, -0.0672036, -626.51, 166.673, 128.481, 36.4447, -193.366
0.0037, -0.142884, 2.82062, 2.18279, -0.262192, -0.0870087, -616.683, 164.924, 126.659, 48.7641, -202.393
0.0038, -0.203989, 2.83708, 2.19536, -0.256693, -0.107682, -603.954, 165.391, 124.635, 61.3483, -210.713
0.0039, -0.263681, 2.8537, 2.20771, -0.249922, -0.129151, -588.486, 167.965, 122.446, 74.2078, -218.309
0.004, -0.321693, 2.87068, 2.21985, -0.241852, -0.151344, -570.45, 172.487, 120.129, 87.3547, -225.17
0.0041, -0.377778, 2.8882, 2.23174, -0.232452, -0.174186, -550.018, 178.762, 117.72, 100.801, -231.294
0.0042, -0.431703, 2.90643, 2.24339, -0.221692, -0.197603, -527.355, 186.561, 115.257, 114.557, -236.684
0.0043, -0.483254, 2.92551, 2.25479, -0.209541, -0.221523, -502.622, 195.635, 112.771, 128.628, -241.346
0.0044, -0.532233, 2.94555, 2.26594, -0.195967, -0.245873, -475.979, 205.72, 110.291, 143.013, -245.293
0.0045, -0.578455, 2.96665, 2.27685, -0.180939, -0.270582, -447.599, 216.543, 107.843, 157.701, -248.538
0.0046, -0.621757, 2.98886, 2.28751, -0.164428, -0.295581, -417.673, 227.831, 105.444, 172.671, -251.096
0.0047, -0.661994, 3.01221, 2.29794, -0.146406, -0.320802, -386.434, 239.316, 103.109, 187.889, -252.983
0.0048, -0.699048, 3.03672, 2.30814, -0.126851, -0.346179, -354.164, 250.74, 100.844, 203.305, -254.216
0.0049, -0.732831, 3.06236, 2.31811, -0.105747, -0.371646, -321.208, 261.866, 98.6506, 218.858, -254.813
0.005, -0.763294, 3.08909, 2.32787, -0.0830814, -0.397143, -287.979, 272.477, 96.5265, 234.47, -254.795
0.0051, -0.790431, 3.11685, 2.33741, -0.0588543, -0.422607, -254.955, 282.394, 94.4634, 250.052, -254.186
0.0052, -0.814289, 3.14557, 2.34676, -0.033073, -0.447981, -222.662, 291.468, 92.4494, 265.502, -253.011
0.0053, -0.834967, 3.17515, 2.3559, -0.00575598, -0.473211, -191.654, 299.598, 90.4698, 280.709, -251.303
0.0054, -0.852622, 3.20549, 2.36485, 0.0230667, -0.498243, -162.478, 306.723, 88.5083, 295.557, -249.099
0.0055, -0.867465, 3.23649, 2.3736, 0.0533533, -0.523032, -135.639, 312.826, 86.5472, 309.925, -246.444
0.0056, -0.879751, 3.26806, 2.38216, 0.0850499, -0.547534, -111.57, 317.928, 84.5697, 323.697, -243.388
0.0057, -0.889779, 3.30008, 2.39052, 0.118091, -0.571712, -90.5999, 322.085, 82.5598, 336.757, -239.989
0.0058, -0.89787, 3.33248, 2.39867, 0.1524, -0.595534, -72.9452, 325.373, 80.504, 349, -236.312
0.0059, -0.904366, 3.36516, 2.40662, 0.18789, -0.618976, -58.7014, 327.885, 78.3916, 360.332, -232.427
0.006, -0.909608, 3.39806, 2.41435, 0.224465, -0.642021, -47.8519, 329.719, 76.2153, 370.672, -228.408
0.0061, -0.913933, 3.43111, 2.42186, 0.262024, -0.66466, -40.2816, 330.971, 73.9715, 379.957, -224.335
0.0062, -0.91766, 3.46425, 2.42914, 0.300457, -0.686891, -35.795, 331.731, 71.6607, 388.14, -220.285
0.0063, -0.921088, 3.49745, 2.43619, 0.339652, -0.70872, -34.1369, 332.076, 69.2869, 395.191, -216.338
0.0064, -0.924483, 3.53067, 2.443, 0.379496, -0.730161, -35.011, 332.074, 66.8579, 401.099, -212.569
0.0065, -0.928086, 3.56387, 2.44956, 0.419873, -0.751236, -38.0969, 331.778, 64.3847, 405.865, -209.046
0.0066, -0.932099, 3.59703, 2.45588, 0.460671, -0.771972, -43.0647, 331.233, 61.8818, 409.504, -205.829
0.0067, -0.936695, 3.63012, 2.46194, 0.501776, -0.792404, -49.586, 330.468, 59.3665, 412.04, -202.969
0.0068, -0.942012, 3.66312, 2.46775, 0.543081, -0.812568, -57.3429, 329.508, 56.8589, 413.5, -200.501
0.0069, -0.94816, 3.69602, 2.47331, 0.584479, -0.832506, -66.0342, 328.366, 54.3819, 413.914, -198.443
0.007, -0.955216, 3.72879, 2.47863, 0.625866, -0.852259, -75.3798, 327.049, 51.9609, 413.304, -196.797
0.0071, -0.963233, 3.76143, 2.4837, 0.667142, -0.871867, -85.1237, 325.556, 49.6239, 411.686, -195.543
0.0072, -0.972238, 3.79391, 2.48855, 0.708207, -0.891369, -95.035, 323.879, 47.4017, 409.062, -194.639
0.0073, -0.982238, 3.8262, 2.49319, 0.748958, -0.910796, -104.909, 322.005, 45.3273, 405.413, -194.021
0.0074, -0.993218, 3.85831, 2.49762, 0.789292, -0.930174, -114.565, 319.914, 43.4364, 400.704, -193.602
0.0075, -1.00515, 3.89019, 2.50187, 0.829101, -0.949517, -123.848, 317.58, 41.7668, 394.874, -193.273
0.0076, -1.01799, 3.92182, 2.50597, 0.868269, -0.968829, -132.626, 314.969, 40.3579, 387.838, -192.903
0.0077, -1.03167, 3.95318, 2.50994, 0.906671, -0.988098, -140.788, 312.045, 39.2507, 379.491, -192.341
0.0078, -1.04614, 3.98423, 2.51382, 0.94417, -1.0073, -148.242, 308.767, 38.4861, 369.706, -191.422
0.0079, -1.06132, 4.01493, 2.51764, 0.980615, -1.02638, -154.915, 305.089, 38.1041, 358.344, -189.97
0.008, -1.07712, 4.04524, 2.52144, 1.01584, -1.04529, -160.749, 300.965, 38.1422, 345.261, -187.807
0.0081, -1.09347, 4.07512, 2.52527, 1.04967, -1.06394, -165.7, 296.348, 38.6332, 330.32, -184.757
0.0082, -1.11026, 4.10451, 2.52917, 1.08191, -1.08224, -169.738, 291.192, 39.6032, 313.404, -180.663
0.0083, -1.12742, 4.13336, 2.53319, 1.11235, -1.10008, -172.843, 285.454, 41.069, 294.436, -175.39
0.0084, -1.14483, 4.1616, 2.53738, 1.1408, -1.11732, -175.005, 279.096, 43.036, 273.39, -168.842
0.0085, -1.16242, 4.18918, 2.5418, 1.16704, -1.13385, -176.223, 272.086, 45.4962, 250.311, -160.968
0.0086, -1.18008, 4.21602, 2.54648, 1.19087, -1.14952, -176.504, 264.399, 48.4273, 225.324, -151.771
0.0087, -1.19772, 4.24206, 2.55148, 1.21211, -1.1642, -175.862, 256.021, 51.7924, 198.638, -141.313
0.0088, -1.21525, 4.26722, 2.55684, 1.2306, -1.17778, -174.318, 246.947, 55.5414, 170.545, -129.712
0.0089, -1.23258, 4.29145, 2.56259, 1.24622, -1.19015, -171.898, 237.185, 59.6128, 141.412, -117.136
0.009, -1.24963, 4.31466, 2.56876, 1.25889, -1.20121, -168.636, 226.756, 63.9365, 111.659, -103.795
0.0091, -1.26631, 4.3368, 2.57538, 1.26856, -1.21091, -164.569, 215.691, 68.4378, 81.7416, -89.9275
0.0092, -1.28254, 4.3578, 2.58245, 1.27525, -1.2192, -159.741, 204.039, 73.0406, 52.1269, -75.7862
0.0093, -1.29826, 4.37761, 2.58998, 1.27899, -1.22607, -154.2, 191.86, 77.6702, 23.2692, -61.6257
0.0094, -1.31338, 4.39617, 2.59798, 1.27991, -1.23153, -147.997, 179.226, 82.2566, -4.40841, -47.6902
0.0095, -1.32786, 4.41345, 2.60643, 1.27812, -1.23561, -141.187, 166.224, 86.7358, -30.5305, -34.2036
0.0096, -1.34162, 4.42942, 2.61533, 1.27381, -1.23837, -133.828, 152.95, 91.0517, -54.7799, -21.3631
0.0097, -1.35462, 4.44405, 2.62464, 1.26717, -1.23989, -125.98, 139.509, 95.1566, -76.9048, -9.33382
0.0098, -1.36682, 4.45732, 2.63436, 1.25843, -1.24024, -117.703, 126.014, 99.0116, -96.7213, 1.75304
0.0099, -1.37817, 4.46925, 2.64445, 1.24782, -1.23954, -109.058, 112.583, 102.587, -114.113, 11.8011
0.01, -1.38863, 4.47984, 2.65488, 1.23561, -1.23789, -100.106, 99.3356, 105.861, -129.025, 20.7476
0.0101, -1.39819, 4.48912, 2.66562, 1.22202, -1.23539, -90.9036, 86.3923, 108.821, -141.463, 28.5613
0.0102, -1.40681, 4.49712, 2.67664, 1.20731, -1.23217, -81.509, 73.8711, 111.459, -151.48, 35.2386
0.0103, -1.41449, 4.5039, 2.68791, 1.19172, -1.22834, -71.9758, 61.8851, 113.778, -159.173, 40.7998
0.0104, -1.42121, 4.5095, 2.69939, 1.17548, -1.22401, -62.3549, 50.5407, 115.78, -164.668, 45.2846
0.0105, -1.42696, 4.51401, 2.71106, 1.15879, -1.21929, -52.6945, 39.9355, 117.476, -168.117, 48.7472
0.0106, -1.43175, 4.51749, 2.72289, 1.14185, -1.21426, -43.0393, 30.1571, 118.878, -169.687, 51.2522
0.0107, -1.43557, 4.52004, 2.73484, 1.12485, -1.20904, -33.4314, 21.2815, 120, -169.55, 52.8704
0.0108, -1.43844, 4.52175, 2.74689, 1.10794, -1.20369, -23.9102, 13.3727, 120.857, -167.882, 53.6757
0.0109, -1.44036, 4.52272, 2.75901, 1.09127, -1.1983, -14.5131, 6.48198, 121.468, -164.853, 53.7424
0.011, -1.44134, 4.52305, 2.77118, 1.07496, -1.19294, -5.27607, 0.647554, 121.847, -160.629, 53.1429
0.0111, -1.44141, 4.52285, 2.78338, 1.05914, -1.18767, 3.76584, -4.10502, 122.012, -155.362, 51.9464
0.0112, -1.44059, 4.52223, 2.79559, 1.04389, -1.18255, 12.5778, -7.76273, 121.978, -149.195, 50.2178
0.0113, -1.4389, 4.52129, 2.80778, 1.0293, -1.17763, 21.1245, -10.3246, 121.762, -142.256, 48.0175
0.0114, -1.43636, 4.52016, 2.81994, 1.01544, -1.17294, 29.3701, -11.8009, 121.378, -134.662, 45.4005
0.0115, -1.43302, 4.51893, 2.83205, 1.00236, -1.16854, 37.277, -12.2127, 120.841, -126.517, 42.4171
0.0116, -1.42891, 4.51772, 2.84411, 0.990131, -1.16446, 44.8068, -11.5911, 120.165, -117.912, 39.1124
0.0117, -1.42406, 4.51661, 2.85609, 0.97878, -1.16072, 51.9191, -9.97615, 119.363, -108.926, 35.5272
0.0118, -1.41853, 4.51572, 2.86798, 0.968344, -1.15735, 58.5728, -7.41634, 118.449, -99.6297, 31.6976
0.0119, -1.41235, 4.51513, 2.87978, 0.958852, -1.15438, 64.7257, -3.96772, 117.434, -90.0826, 27.6559
0.012, -1.40558, 4.51492, 2.89147, 0.950326, -1.15182, 70.3357, 0.306832, 116.33, -80.3364, 23.4307
0.0121, -1.39828, 4.51519, 2.90304, 0.942784, -1.14969, 75.3612, 5.33848, 115.149, -70.4354, 19.0474
0.0122, -1.39051, 4.51599, 2.9145, 0.936238, -1.14801, 79.7626, 11.0532, 113.901, -60.4173, 14.5281
0.0123, -1.38233, 4.5174, 2.92582, 0.930699, -1.14679, 83.5028, 17.3726, 112.597, -50.3147, 9.8924
0.0124, -1.37381, 4.51946, 2.93702, 0.926174, -1.14603, 86.549, 24.2148, 111.245, -40.1554, 5.15748
0.0125, -1.36502, 4.52224, 2.94807, 0.922667, -1.14576, 88.8733, 31.4954, 109.854, -29.9634, 0.338265
0.0126, -1.35604, 4.52576, 2.95899, 0.92018, -1.14597, 90.454, 39.1287, 108.431, -19.76, -4.55223
0.0127, -1.34693, 4.53006, 2.96976, 0.918714, -1.14667, 91.2764, 47.0283, 106.985, -9.56375, -9.50271
0.0128, -1.33778, 4.53516, 2.98038, 0.918267, -1.14787, 91.3339, 55.1084, 105.521, 0.608333, -14.5034
0.0129, -1.32866, 4.54108, 2.99086, 0.918835, -1.14957, 90.6281, 63.2853, 104.044, 10.7406, -19.5458
0.013, -1.31966, 4.54782, 3.00119, 0.920414, -1.15177, 89.1691, 71.4779, 102.558, 20.8184, -24.6225
0.0131, -1.31083, 4.55538, 3.01138, 0.922998, -1.15449, 86.9756, 79.6096, 101.069, 30.8273, -29.7272
0.0132, -1.30226, 4.56374, 3.02141, 0.926579, -1.15772, 84.0746, 87.6086, 99.5772, 40.7534, -34.8543
0.0133, -1.29401, 4.5729, 3.03129, 0.931148, -1.16146, 80.5006, 95.4095, 98.0864, 50.5824, -39.9986
0.0134, -1.28616, 4.58282, 3.04103, 0.936694, -1.16572, 76.2949, 102.954, 96.5978, 60.3002, -45.1556
0.0135, -1.27875, 4.59349, 3.05061, 0.943207, -1.17049, 71.5046, 110.19, 95.1125, 69.892, -50.321
0.0136, -1.27186, 4.60486, 3.06005, 0.950672, -1.17578, 66.1812, 117.078, 93.6312, 79.3424, -55.4904
0.0137, -1.26552, 4.6169, 3.06934, 0.959075, -1.18159, 60.38, 123.581, 92.1542, 88.6355, -60.6594
0.0138, -1.25978, 4.62957, 3.07848, 0.968399, -1.18791, 54.158, 129.676, 90.6817, 97.7547, -65.8234
0.0139, -1.25468, 4.64284, 3.08747, 0.978625, -1.19476, 47.5737, 135.346, 89.214, 106.682, -70.9771
0.014, -1.25026, 4.65664, 3.09632, 0.989734, -1.20211, 40.6849, 140.584, 87.7511, 115.4, -76.1146
0.0141, -1.24655, 4.67095, 3.10502, 1.0017, -1.20998, 33.5486, 145.389, 86.2937, 123.887, -81.229
0.0142, -1.24355, 4.68572, 3.11358, 1.01451, -1.21836, 26.2197, 149.771, 84.8425, 132.124, -86.3122
0.0143, -1.2413, 4.70091, 3.12199, 1.02813, -1.22724, 18.7505, 153.743, 83.3989, 140.087, -91.3548
0.0144, -1.2398, 4.71647, 3.13026, 1.04253, -1.23663, 11.1899, 157.325, 81.9646, 147.752, -96.3455
0.0145, -1.23906, 4.73237, 3.13838, 1.05768, -1.24651, 3.58336, 160.544, 80.5422, 155.095, -101.271
0.0146, -1.23908, 4.74858, 3.14637, 1.07355, -1.25688, -4.0275, 163.429, 79.1352, 162.085, -106.117
0.0147, -1.23987, 4.76506, 3.15421, 1.0901, -1.26773, -11.605, 166.013, 77.7476, 168.695, -110.864
0.0148, -1.2414, 4.78178, 3.16192, 1.10729, -1.27905, -19.1151, 168.329, 76.3847, 174.89, -115.493
0.0149, -1.24369, 4.79873, 3.16949, 1.12507, -1.29083, -26.5278, 170.413, 75.0525, 180.636, -119.98
0.015, -1.24671, 4.81587, 3.17693, 1.14341, -1.30305, -33.8166, 172.302, 73.7579, 185.895, -124.3
0.0151, -1.25045, 4.83319, 3.18424, 1.16225, -1.31569, -40.958, 174.03, 72.5089, 190.629, -128.423
0.0152, -1.2549, 4.85067, 3.19143, 1.18154, -1.32873, -47.932, 175.631, 71.3142, 194.796, -132.319
0.0153, -1.26004, 4.86831, 3.1985, 1.20121, -1.34215, -54.7213, 177.137, 70.183, 198.354, -135.955
0.0154, -1.26584, 4.8861, 3.20547, 1.22121, -1.35592, -61.311, 178.577, 69.1252, 201.261, -139.295
0.0155, -1.2723, 4.90403, 3.21233, 1.24146, -1.37001, -67.6886, 179.98, 68.1506, 203.478, -142.306
0.0156, -1.27938, 4.9221, 3.2191, 1.26191, -1.38439, -73.8438, 181.368, 67.2688, 204.969, -144.954
0.015625, -1.28124, 4.92663, 3.22078, 1.26703, -1.38802, -75.3458, 181.714, 67.0639, 205.226, -145.556
0.015725, -1.28908, 4.94488, 3.22744, 1.2876, -1.40269, -81.2114, 183.114, 66.3107, 205.769, -147.705
0.015825, -1.29749, 4.96326, 3.23404, 1.30819, -1.41756, -86.838, 184.544, 65.6688, 205.531, -149.428
0.015925, -1.30645, 4.98178, 3.24058, 1.32871, -1.43258, -92.221, 186.018, 65.144, 204.508, -150.704
0.016025, -1.31593, 5.00046, 3.24707, 1.34909, -1.4477, -97.3571, 187.55, 64.7395, 202.71, -151.524
0.016125, -1.32592, 5.01929, 3.25352, 1.36925, -1.46288, -102.245, 189.15, 64.4563, 200.163, -151.889
0.016225, -1.33638, 5.03829, 3.25996, 1.38912, -1.47808, -106.883, 190.827, 64.2919, 196.912, -151.809
0.016325, -1.34729, 5.05746, 3.26638, 1.40864, -1.49324, -111.273, 192.587, 64.2411, 193.024, -151.308
0.016425, -1.35863, 5.07681, 3.27281, 1.42773, -1.50834, -115.418, 194.437, 64.2956, 188.579, -150.42
0.016525, -1.37038, 5.09635, 3.27924, 1.44635, -1.52333, -119.32, 196.382, 64.4445, 183.675, -149.192
0.016625, -1.3825, 5.11608, 3.2857, 1.46447, -1.53818, -122.985, 198.426, 64.6747, 178.423, -147.677
0.016725, -1.39497, 5.13603, 3.29218, 1.48204, -1.55286, -126.419, 200.575, 64.9715, 172.939, -145.933
0.016825, -1.40778, 5.1562, 3.29869, 1.49906, -1.56737, -129.629, 202.832, 65.3192, 167.343, -144.025
0.016925, -1.4209, 5.1766, 3.30524, 1.51551, -1.58167, -132.624, 205.202, 65.7022, 161.753, -142.014
0.017025, -1.4343, 5.19724, 3.31183, 1.53141, -1.59577, -135.415, 207.692, 66.1053, 156.28, -139.963
0.017125, -1.44798, 5.21813, 3.31846, 1.54677, -1.60966, -138.012, 210.306, 66.5141, 151.026, -137.928
0.017225, -1.46191, 5.2393, 3.32513, 1.56162, -1.62336, -140.43, 213.053, 66.916, 146.079, -135.958
0.017325, -1.47607, 5.26074, 3.33184, 1.57599, -1.63686, -142.681, 215.94, 67.3001, 141.51, -134.098
0.017425, -1.49044, 5.28248, 3.33859, 1.58992, -1.65018, -144.782, 218.977, 67.6573, 137.379, -132.38
0.017525, -1.50502, 5.30454, 3.34538, 1.60346, -1.66333, -146.748, 222.176, 67.981, 133.725, -130.832
0.017625, -1.51979, 5.32692, 3.35219, 1.61666, -1.67634, -148.599, 225.548, 68.266, 130.573, -129.472
0.017725, -1.53474, 5.34965, 3.35903, 1.62958, -1.68923, -150.354, 229.107, 68.5096, 127.935, -128.309
0.017825, -1.54986, 5.37274, 3.36589, 1.64225, -1.702, -152.032, 232.871, 68.7105, 125.806, -127.347
0.017925, -1.56515, 5.39622, 3.37277, 1.65474, -1.71469, -153.656, 236.855, 68.8691, 124.171, -126.582
0.018025, -1.58059, 5.42011, 3.37966, 1.66708, -1.72732, -155.248, 241.08, 68.9874, 123.005, -126.004
0.018125, -1.5962, 5.44443, 3.38657, 1.67934, -1.7399, -156.832, 245.566, 69.0684, 122.272, -125.601
0.018225, -1.61196, 5.46922, 3.39348, 1.69154, -1.75244, -158.433, 250.336, 69.1162, 121.933, -125.354
