time, vx, vy, vz, wx, wy, wz
0, 0, 0, 0, 0, 0, 0
0.0001, 0.042867, 0, 63.8355, 0, 19.3138, 0
0.0002, 0.308744, 0, 120.946, 0, 38.6229, 0
0.0003, 0.945241, 0, 171.548, 0, 57.8061, 0
0.0004, 2.035, 0, 216.1, 0, 76.7915, 0
0.0005, 3.61275, 0, 255.176, 0, 95.518, 0
0.0006, 5.67928, 0, 289.32, 0, 113.926, 0
0.0007, 8.21039, 0, 318.977, 0, 131.962, 0
0.0008, 11.1626, 0, 344.489, 0, 149.588, 0
0.0009, 14.4779, 0, 366.133, 0, 166.778, 0
0.001, 18.0877, 0, 384.151, 0, 183.519, 0
0.0011, 21.9168, 0, 398.766, 0, 199.805, 0
0.0012, 25.887, 0, 410.193, 0, 215.637, 0
0.0013, 29.9199, 0, 418.642, 0, 231.023, 0
0.0014, 33.9394, 0, 424.321, 0, 245.972, 0
0.0015, 37.8737, 0, 427.437, 0, 260.498, 0
0.0016, 41.6576, 0, 428.197, 0, 274.619, 0
0.0017, 45.2334, 0, 426.811, 0, 288.355, 0
0.0018, 48.5523, 0, 423.489, 0, 301.733, 0
0.0019, 51.5752, 0, 418.441, 0, 314.783, 0
0.002, 54.2731, 0, 411.878, 0, 327.543, 0
0.0021, 56.6261, 0, 404.003, 0, 340.053, 0
0.0022, 58.6224, 0, 395.006, 0, 352.365, 0
0.0023, 60.2552, 0, 385.047, 0, 364.533, 0
0.0024, 61.5181, 0, 374.243, 0, 376.616, 0
0.0025, 62.4009, 0, 362.652, 0, 388.673, 0
0.0026, 62.8862, 0, 350.273, 0, 400.761, 0
0.0027, 62.9501, 0, 337.062, 0, 412.931, 0
0.0028, 62.566, 0, 322.959, 0, 425.234, 0
0.0029, 61.71, 0, 307.916, 0, 437.718, 0
0.003, 60.3638, 0, 291.906, 0, 450.442, 0
0.0031, 58.5166, 0, 274.927, 0, 463.471, 0
0.0032, 56.164, 0, 256.992, 0, 476.887, 0
0.0033, 53.3074, 0, 238.12, 0, 490.789, 0
0.0034, 49.9527, 0, 218.332, 0, 505.291, 0
0.0035, 46.1092, 0, 197.644, 0, 520.529, 0
0.0036, 41.7891, 0, 176.064, 0, 536.659, 0
0.0037, 37.008, 0, 153.599, 0, 553.859, 0
0.0038, 31.7861, 0, 130.251, 0, 572.327, 0
0.0039, 26.1516, 0, 106.04, 0, 592.271, 0
0.004, 20.1469, 0, 81.0186, 0, 613.898, 0
0.0041, 13.84, 0, 55.3234, 0, 637.373, 0
0.0042, 7.34394, 0, 29.2478, 0, 662.755, 0
0.0043, 0.847911, 0, 3.37212, 0, 689.867, 0
0.0044, -5.3358, 0, -21.2378, 0, 718.08, 0
0.0045, -10.7134, 0, -42.765, 0, 745.987, 0
0.0046, -14.5643, 0, -58.4042, 0, 771.025, 0
0.0047, -15.9782, 0, -64.4375, 0, 789.318, 0
