time, vx, vy, vz, wx, wy, wz
0, 0, 0, 0, 0, 0, 0
0.0001, 389.391, 0, -576.793, 0, -42.1187, 0
0.0002, 738.012, 0, -1081.13, 0, -79.1436, 0
0.0003, 1046.42, 0, -1505.66, 0, -110.753, 0
0.0004, 1317.75, 0, -1851.73, 0, -137.167, 0
0.0005, 1558.73, 0, -2128.9, 0, -159.156, 0
0.0006, 1776.17, 0, -2348.24, 0, -177.571, 0
0.0007, 1974.73, 0, -2518.53, 0, -193.057, 0
0.0008, 2157.22, 0, -2646.41, 0, -206.074, 0
0.0009, 2325.31, 0, -2737.24, 0, -216.966, 0
0.001, 2479.97, 0, -2795.57, 0, -226, 0
0.0011, 2621.65, 0, -2825.27, 0, -233.383, 0
0.0012, 2750.23, 0, -2829.54, 0, -239.259, 0
0.0013, 2864.83, 0, -2810.8, 0, -243.698, 0
0.0014, 2963.67, 0, -2770.71, 0, -246.692, 0
0.0015, 3044.05, 0, -2710.28, 0, -248.156, 0
0.0016, 3102.49, 0, -2630.18, 0, -247.949, 0
0.0017, 3135.1, 0, -2531.1, 0, -245.904, 0
0.0018, 3138.03, 0, -2414.11, 0, -241.859, 0
0.0019, 3107.95, 0, -2280.81, 0, -235.691, 0
0.002, 3042.39, 0, -2133.4, 0, -227.33, 0
0.0021, 2939.98, 0, -1974.54, 0, -216.77, 0
0.0022, 2800.48, 0, -1807.16, 0, -204.066, 0
0.0023, 2624.81, 0, -1634.22, 0, -189.327, 0
0.0024, 2414.85, 0, -1458.46, 0, -172.708, 0
0.0025, 2173.31, 0, -1282.21, 0, -154.394, 0
0.0026, 1903.54, 0, -1107.31, 0, -134.594, 0
0.0027, 1609.32, 0, -934.989, 0, -113.527, 0
0.0028, 1294.75, 0, -765.905, 0, -91.4217, 0
0.0029, 964.202, 0, -600.212, 0, -68.5137, 0
0.003, 622.419, 0, -437.718, 0, -45.0563, 0
0.0031, 274.695, 0, -278.107, 0, -21.3364, 0
0.0032, -73.0333, 0, -121.144, 0, 2.31728, 0
0.0033, -414.541, 0, 33.2951, 0, 25.5551, 0
0.0034, -743.949, 0, 185.29, 0, 48.0462, 0
0.0035, -1056.11, 0, 334.874, 0, 69.5015, 0
0.0036, -1346.6, 0, 481.908, 0, 89.672, 0
0.0037, -1611.64, 0, 625.937, 0, 108.34, 0
0.0038, -1848.01, 0, 766.099, 0, 125.313, 0
0.0039, -2053.05, 0, 901.089, 0, 140.418, 0
0.004, -2224.63, 0, 1029.17, 0, 153.504, 0
