time, vx, vy, vz, wx, wy, wz
0, 0, 0, 0, 0, 0, 0
0.0001, 5.64067, 0, 785.542, 0, -136.147, 0
0.0002, 42.2583, 0, 1531.69, 0, -268.782, 0
0.0003, 136.026, 0, 2234.7, 0, -403.562, 0
0.0004, 308.91, 0, 2895.58, 0, -546.286, 0
0.0005, 576.238, 0, 3503.55, 0, -692.415, 0
0.0006, 936.291, 0, 4011.26, 0, -804.521, 0
0.0007, 1373.32, 0, 4386.42, 0, -850.845, 0
0.0008, 1869.54, 0, 4627.27, 0, -821.272, 0
0.0009, 2406.48, 0, 4737.09, 0, -707.248, 0
0.001, 2966.09, 0, 4722.21, 0, -496.78, 0
0.0011, 3537.44, 0, 4598.63, 0, -190.713, 0
0.0012, 4105.5, 0, 4370.76, 0, 194.721, 0
0.0013, 4633.4, 0, 4025.73, 0, 634.598, 0
0.0014, 5057.72, 0, 3551.96, 0, 1096.9, 0
0.0015, 5301.49, 0, 2962.06, 0, 1546.64, 0
0.0016, 5302.71, 0, 2304.56, 0, 1957.48, 0
0.0017, 5038.16, 0, 1652.03, 0, 2326.24, 0
0.0018, 4520.72, 0, 1074.03, 0, 2682.33, 0
0.0019, 3767.09, 0, 615.702, 0, 3100.54, 0
0.002, 2737.04, 0, 291.809, 0, 3749.62, 0
0.0021, 1362.65, 0, 96.7705, 0, 4961.17, 0
0.0022, 2233.95, 0, 135.067, 0, 4943.24, 0
0.0023, 4124.67, 0, 17.0184, 0, 3748.92, 0
0.0024, 5346.89, 0, -419.24, 0, 2846.72, 0
0.0025, 6023.68, 0, -1068.06, 0, 2201.77, 0
0.0026, 6325.35, 0, -1834.23, 0, 1662.68, 0
0.0027, 6341.6, 0, -2643.25, 0, 1170, 0
0.0028, 6141.73, 0, -3444.53, 0, 705.037, 0
0.0029, 5786.3, 0, -4214.66, 0, 263.352, 0
0.003, 5321.54, 0, -4954.05, 0, -159.744, 0
0.0031, 4772.1, 0, -5677.2, 0, -577.299, 0
0.0032, 4134.69, 0, -6394.35, 0, -1011.7, 0
0.0033, 3366.21, 0, -7053.88, 0, -1469.4, 0
0.0034, 2385.15, 0, -7350.97, 0, -1790.2, 0
0.0035, 1305.85, 0, -6856.54, 0, -1544.66, 0
0.0036, 489.606, 0, -6123.45, 0, -915.077, 0
0.0037, -92.8458, 0, -5601.84, 0, -307.384, 0
0.0038, -564.008, 0, -5274.52, 0, 185.696, 0
0.0039, -986.693, 0, -5046.69, 0, 576.749, 0
0.004, -1382.86, 0, -4850.68, 0, 887.123, 0
0.0041, -1754.43, 0, -4646.23, 0, 1135.84, 0
0.0042, -2093.9, 0, -4411.71, 0, 1340.2, 0
0.0043, -2389.3, 0, -4137.16, 0, 1516.32, 0
0.0044, -2625.63, 0, -3818.98, 0, 1679.47, 0
0.0045, -2783.88, 0, -3455.82, 0, 1844.55, 0
0.0046, -2837.91, 0, -3045.51, 0, 2025.13, 0
0.0047, -2752.73, 0, -2585.29, 0, 2222.78, 0
0.0048, -2521.44, 0, -2102.03, 0, 2379.6, 0
0.0049, -2409.66, 0, -1808.39, 0, 2324.38, 0
0.005, -2533.95, 0, -1712.86, 0, 2074.84, 0
0.0051, -2761.6, 0, -1664.69, 0, 1784.22, 0
0.0052, -3004.25, 0, -1592.2, 0, 1522.4, 0
0.0053, -3232.11, 0, -1479.76, 0, 1300.55, 0
0.0054, -3437.76, 0, -1329.16, 0, 1111.39, 0
0.0055, -3618.49, 0, -1145.16, 0, 939.848, 0
0.0056, -3761.8, 0, -930.485, 0, 763.196, 0
0.0057, -3827.53, 0, -687.364, 0, 570.157, 0
0.0058, -3824.28, 0, -434.712, 0, 372.902, 0
0.0059, -3796.74, 0, -187.957, 0, 181.769, 0
0.006, -3766.9, 0, 50.9883, 0, 3.16114, 0
0.0061, -3741.45, 0, 285.252, 0, -161.868, 0
0.0062, -3722.02, 0, 519.01, 0, -317.867, 0
0.0063, -3711.78, 0, 757.374, 0, -473.248, 0
0.0064, -3714.65, 0, 1007.27, 0, -631.121, 0
0.0065, -3709.25, 0, 1268.77, 0, -767.267, 0
0.0066, -3632.76, 0, 1516.17, 0, -821.092, 0
0.0067, -3454.03, 0, 1714.19, 0, -746.184, 0
0.0068, -3230.52, 0, 1866.42, 0, -581.088, 0
0.0069, -3026.69, 0, 2004.7, 0, -399.521, 0
0.007, -2857.64, 0, 2149.06, 0, -239.487, 0
0.0071, -2710.02, 0, 2301.47, 0, -106.032, 0
0.0072, -2568.08, 0, 2456.42, 0, 5.38004, 0
0.0073, -2424.97, 0, 2611.41, 0, 96.7267, 0
0.0074, -2279.38, 0, 2767.98, 0, 167.555, 0
0.0075, -2129.57, 0, 2927.42, 0, 217.77, 0
0.0076, -1972.41, 0, 3088.99, 0, 248.889, 0
0.0077, -1804.58, 0, 3250.5, 0, 264.02, 0
0.0078, -1623.47, 0, 3409.38, 0, 267.131, 0
0.0079, -1427.3, 0, 3563.1, 0, 262.13, 0
0.008, -1214.73, 0, 3708.43, 0, 252.27, 0
0.0081, -984.767, 0, 3840.38, 0, 240.234, 0
0.0082, -737.5, 0, 3952.18, 0, 228.609, 0
0.0083, -474.899, 0, 4037, 0, 220.108, 0
0.0084, -200.901, 0, 4089.88, 0, 217.317, 0
0.0085, 79.3546, 0, 4108.95, 0, 222.302, 0
0.0086, 360.631, 0, 4095.37, 0, 236.327, 0
0.0087, 638.526, 0, 4052.48, 0, 259.796, 0
0.0088, 909.92, 0, 3984.57, 0, 292.346, 0
0.0089, 1172.91, 0, 3895.68, 0, 333.048, 0
0.009, 1426.38, 0, 3788.91, 0, 380.618, 0
0.0091, 1669.52, 0, 3666.19, 0, 433.602, 0
0.0092, 1901.36, 0, 3528.47, 0, 490.498, 0
