time, vx, vy, vz, wx, wy, wz
0, 0, 0, 0, 0, 0, 0
0.0001, 1278.37, 0, -993.728, 0, -136.147, 0
0.0002, 2645.19, 0, -1914.57, 0, -268.782, 0
0.0003, 4266.02, 0, -2764.4, 0, -403.562, 0
0.0004, 6313.05, 0, -3507.45, 0, -546.286, 0
0.0005, 8813.62, 0, -3974.91, 0, -692.415, 0
0.0006, 11263.3, 0, -3764.38, 0, -804.521, 0
0.0007, 13027.9, 0, -2760.42, 0, -850.845, 0
0.0008, 13702.7, 0, -1213.66, 0, -821.272, 0
0.0009, 12970.8, 0, 549.337, 0, -707.248, 0
0.001, 10557.7, 0, 2255.63, 0, -496.78, 0
0.0011, 6484.61, 0, 3759.19, 0, -190.713, 0
0.0012, 1095.13, 0, 5223.37, 0, 194.721, 0
0.0013, -5056.92, 0, 7199.21, 0, 634.598, 0
0.0014, -11156.3, 0, 10461.8, 0, 1096.9, 0
0.0015, -16070.3, 0, 15644.4, 0, 1546.64, 0
0.0016, -18515.5, 0, 22846.6, 0, 1957.48, 0
0.0017, -17411.8, 0, 31537.1, 0, 2326.24, 0
0.0018, -12035, 0, 40867.1, 0, 2682.33, 0
0.0019, -1596.1, 0, 50145.6, 0, 3100.54, 0
0.002, 16279.8, 0, 58999, 0, 3749.62, 0
0.0021, 49363.8, 0, 63740.7, 0, 4961.17, 0
0.0022, 76971.5, 0, 27025.6, 0, 4943.24, 0
0.0023, 64158.1, 0, -4938.19, 0, 3748.92, 0
0.0024, 47469.2, 0, -18250.6, 0, 2846.72, 0
0.0025, 34213.2, 0, -22444.6, 0, 2201.77, 0
0.0026, 24143.7, 0, -21740.1, 0, 1662.68, 0
0.0027, 16784.9, 0, -18275.4, 0, 1170, 0
0.0028, 11528.7, 0, -13410.3, 0, 705.037, 0
0.0029, 7617.37, 0, -8029.51, 0, 263.352, 0
0.003, 4222.17, 0, -2634.64, 0, -159.744, 0
0.0031, 493.396, 0, 2553.09, 0, -577.299, 0
0.0032, -4476.45, 0, 7393.6, 0, -1011.7, 0
0.0033, -11517.6, 0, 11274.2, 0, -1469.4, 0
0.0034, -19255.4, 0, 11599.3, 0, -1790.2, 0
0.0035, -20045.4, 0, 5798.13, 0, -1544.66, 0
0.0036, -13003.1, 0, -280.717, 0, -915.077, 0
0.0037, -4731.09, 0, -3904.51, 0, -307.384, 0
0.0038, 2240.9, 0, -6292.05, 0, 185.696, 0
0.0039, 7589.09, 0, -8559.09, 0, 576.749, 0
0.004, 11364.6, 0, -11229.3, 0, 887.123, 0
0.0041, 13643.7, 0, -14443.3, 0, 1135.84, 0
0.0042, 14493.2, 0, -18144.6, 0, 1340.2, 0
0.0043, 13963, 0, -22198.7, 0, 1516.32, 0
0.0044, 12066.5, 0, -26454.7, 0, 1679.47, 0
0.0045, 8747.83, 0, -30758.6, 0, 1844.55, 0
0.0046, 3835.59, 0, -34893.7, 0, 2025.13, 0
0.0047, -2956.74, 0, -38300.4, 0, 2222.78, 0
0.0048, -11545.9, 0, -39257.2, 0, 2379.6, 0
0.0049, -19672.9, 0, -34927.3, 0, 2324.38, 0
0.005, -24121.3, 0, -27118.4, 0, 2074.84, 0
0.0051, -25174.5, 0, -19540.9, 0, 1784.22, 0
0.0052, -24368.3, 0, -13507, 0, 1522.4, 0
0.0053, -22726.7, 0, -9006.78, 0, 1300.55, 0
0.0054, -20746.9, 0, -5722.1, 0, 1111.39, 0
0.0055, -18558.8, 0, -3345.59, 0, 939.848, 0
0.0056, -16002.3, 0, -1674.24, 0, 763.196, 0
0.0057, -12988.6, 0, -627.027, 0, 570.157, 0
0.0058, -9807.35, 0, -111.673, 0, 372.902, 0
0.0059, -6707.71, 0, 49.7848, 0, 181.769, 0
0.006, -3817.48, 0, 55.5736, 0, 3.16114, 0
0.0061, -1149.32, 0, 71.8033, 0, -161.868, 0
